comment_id,sentimiento,prob_neg,prob_neu,prob_pos
Ugw-J65a1iYL9hqhELh4AaABAg,NEG,0.807786762714386,0.14628508687019348,0.045928116887807846
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,NEG,0.9650872945785522,0.029080338776111603,0.005832497496157885
Ugw0xaOb2CYXXoudtwJ4AaABAg,NEG,0.9713771343231201,0.025966867804527283,0.002656027674674988
Ugw0xgUc2ISpBr5_T654AaABAg,NEG,0.7018647789955139,0.2676486372947693,0.030486609786748886
Ugw1ZzA21njWhaqQQTh4AaABAg,NEG,0.8103276491165161,0.17043134570121765,0.019240986555814743
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,NEU,0.30897510051727295,0.539604127407074,0.15142077207565308
Ugw2014OIYf336oytFt4AaABAg,POS,0.021916216239333153,0.38881927728652954,0.5892645716667175
Ugw2bSVOoNn2pc8ZcUl4AaABAg,NEG,0.5835473537445068,0.37668582797050476,0.03976685181260109
Ugw3gnUvLp6AqO0_odt4AaABAg,NEU,0.15794506669044495,0.6771429181098938,0.16491208970546722
Ugw4C1ijI36l6LAiSZh4AaABAg,NEG,0.5815954208374023,0.2898416221141815,0.1285630315542221
Ugw4St_YnT9_Ya5xSPt4AaABAg,NEG,0.9142569899559021,0.08024968951940536,0.005493370816111565
Ugw4ccnmIWJaE6VNRWN4AaABAg,POS,0.024983588606119156,0.07526615262031555,0.8997502326965332
Ugw5E402-fn52PLXFIJ4AaABAg,NEG,0.7196908593177795,0.2552507817745209,0.025058414787054062
Ugw5URsiAF9QVoniY-l4AaABAg,NEG,0.8866134285926819,0.10643384605646133,0.006952647119760513
Ugw5xMAuDaygo77ynI94AaABAg,NEG,0.9809203147888184,0.015993129462003708,0.0030865054577589035
Ugw6cfXYfV4H-asKlDR4AaABAg,NEG,0.97502201795578,0.0214528888463974,0.00352507084608078
Ugw74asIfir0_SVC6OB4AaABAg,NEU,0.29836443066596985,0.6854534149169922,0.016182081773877144
Ugw86zOgTwKzYotlT9l4AaABAg,NEG,0.9045087695121765,0.08896268904209137,0.006528506521135569
Ugw8iZ_G2Cwq-9ZYctt4AaABAg,NEG,0.9448850154876709,0.04358520731329918,0.01152976043522358
Ugw8pyxscJNUQpfoKuF4AaABAg,NEG,0.7940720915794373,0.1953151673078537,0.010612702928483486
Ugw9_Qw_QaSdggWuKJt4AaABAg,NEU,0.12265916913747787,0.815261960029602,0.062078870832920074
Ugw9eye2GML6RHRSu-14AaABAg,NEG,0.9528023600578308,0.037278033792972565,0.009919611737132072
UgwA5aTmgACLCuTUT494AaABAg,POS,0.010685150511562824,0.13139811158180237,0.8579167723655701
UgwARHTnVAzzPrHbNox4AaABAg,POS,0.002945296000689268,0.02327592484652996,0.9737788438796997
UgwBIwUPLGxEWAu3Mh14AaABAg,NEG,0.8915751576423645,0.10505630075931549,0.003368533682078123
UgwCW5PErySUmwse3bZ4AaABAg,NEU,0.46558651328086853,0.47274231910705566,0.06167115643620491
UgwCfRlzeiXz172UQQV4AaABAg,POS,0.0028262652922421694,0.035511866211891174,0.9616618156433105
UgwCw9bhAw6suYQfCWx4AaABAg,POS,0.030621623620390892,0.20220719277858734,0.7671712040901184
UgwEOUk-ofXNqkHW5Cx4AaABAg,NEG,0.9598258137702942,0.03720342740416527,0.002970670582726598
UgwEQHx8Ik7SbxBTQ914AaABAg,NEU,0.35485905408859253,0.5239256024360657,0.12121540307998657
UgwEjfj5ueeimHg-Hbt4AaABAg,NEG,0.8794482350349426,0.10442879050970078,0.01612294279038906
UgwG3XiEgFlHKtrtTqd4AaABAg,NEG,0.9689444899559021,0.027760902419686317,0.0032945978455245495
UgwGm1V-_GN1ZPcijdl4AaABAg,NEG,0.9338314533233643,0.06275972723960876,0.0034088052343577147
UgwHY5LtTiQ0lBONp8N4AaABAg,NEG,0.9452114701271057,0.046043261885643005,0.008745287545025349
UgwIB06iEQnFOFLc9et4AaABAg,NEG,0.9623076319694519,0.03310941904783249,0.004582866095006466
UgwIB06iEQnFOFLc9et4AaABAg.Aa-0m2jDJt2Aa42DVzs9Zy,NEG,0.8334043622016907,0.13864003121852875,0.02795565128326416
UgwIBBqN6fh6MURkwkN4AaABAg,NEG,0.9712888598442078,0.022601746022701263,0.006109328009188175
UgwIiqrp6EYNoFmnBAR4AaABAg,NEG,0.9209766387939453,0.06255552172660828,0.016467774286866188
UgwIlv8gtF3WKYfHSJJ4AaABAg,NEU,0.25601351261138916,0.7021542191505432,0.04183221608400345
UgwJ4UehO5E4j0niJU14AaABAg,NEG,0.6899157762527466,0.28890296816825867,0.02118130959570408
UgwJMFYT7I9czw_oa0V4AaABAg,NEU,0.12742024660110474,0.7868337631225586,0.08574595302343369
UgwJN55EmMcKPRb_AfB4AaABAg,NEG,0.9748119711875916,0.021795855835080147,0.003392221871763468
UgwKjHT5lyjLiqR9ym94AaABAg,POS,0.10073661804199219,0.20323286950588226,0.6960305571556091
UgwL_UlN82zRUeNgVDh4AaABAg,NEU,0.3924492597579956,0.5653054118156433,0.04224526137113571
